Nama,Sentimen,Ulasan
citrananayu,Positif,udh punya  doonk👍
citratiarani,Positif,"jadi pengen main di sana hehe, bagus banget😁"
CIVIC AGUNKIZZY,Positif,"Bangga ada Stadion yg sekeren ini.,, Kalau malam warbiasyaahh sekali"
ckyromansyah,Positif,Karena kepentingan politik antara    Stadion yang tadinya di niatkan untuk Markas  sampai saat ini tidak ada satupun pertandingan Persija Jakarta di Liga 1 yang menggunakan Stadion JIS malah digunakan untuk konser. Sangat di sayangkan !!!
Clara✨,Positif,yuk bisa yuk kameranya juga bagus
cmpu_t,Negatif,Klo ada konser dewa 19 Lg plisssss kbrin 😂 infonya telat jd g nonton 😭😭
Code.,Negatif,"Hanya untuk acara Kondangan, Konser musik, dll. Tidak untuk timnas 🤣"
coki,Positif,wih manteeep...beda am yg bangun tmpat balap yg kebanjiran😂
common people,Positif,mantaaap!!! anies🥰🥰
computers1,Negatif,kosan Aing te ka sorot min ah😂
Cowoamel🍓,Negatif,pliss camera nya 🥺
cowok gblk,Negatif,#AREMAOUT
CoWoK PoLOS,Negatif,stadion elit parkir sulittt😳
CR7⁷™🥀,Negatif,"ini cuman buat konser,hajatan doang cuk bukan untuk sepak bola"
crazy.,Positif,Selamat buat Jakarta slm dari Bandung rawat sebaik-baiknya nya Jak jujur iri liat tsadion nya megahh brayy
Cream,Negatif,indo afk di fifa
Cristiano,Positif,keren abis stadium jis😎
Cs Bcpriok,Positif,"Megah, Mewah, Modern"
Cuakz,Positif,Stadion bertaraf internasional di Bangun Gubernur Anis Baswedan
cuangssss,Negatif,wasitte liga tarkam
Cube Films,Negatif,akses transportnya perlu dibenahi lagi
cucu zeus,Negatif,tapi tidak masuk standar PSSI😂😂
cucunyaomagill,Negatif,cukup jadi gubernur aja gak usah presiden
Cungkring,Negatif,standart fifa tapi tidak standart pssi
Cv Putra mandiri steel,Positif,Stadion kelas Eropa..😍
cv swid digital printing,Negatif,JIS blum msuk kategori FIFA
D,Positif,luar biasa jakarta
D H I L A,Negatif,mudah2an kalau di siarin di tv gak pake kamera advan🥺
D I N D A,Positif,"plis bgt jngn dirusak fasilitasnya, walopun bkn home nya club yg aku dukung tp aku ikut bangga Indonesia punya stadion sebagus itu"
D Ipa,Positif,Keren bangeeet untuk sementara yang berkunjung kesana belum boleh masuk karena masih ada pengerjaan finishing
D3m4n6_l3hm4N,Negatif,karya satrio similikiti ini😂
D4n,Negatif,"wrna kursinya kalo orange agak sedikit buram tidak mencolok, lebih bagus ke warna merah putih, dan tidak ad vareasi gambar mutif di di tmpat tribunya"
Daay04,Positif,Jakarta punya nih boos🥰
Dadan Jr.,Negatif,tapi sayang argentina maen di GBK WKWK
Dafaa5Mb,Negatif,bayar stadion nya mahal pak aduhh makanya timnas gamain disitu
Daffa AN,Negatif,"terakhir ke jakarta lewat aja, blm jadi, masih proses pembangunan."
Dais Nayla chanel,Positif,Stadion kelas internasional yg lokasinya dekat dengan tempat rekreasi pantai ancol
Dakwah Tauhid,Positif,"Masyaallaah tabarakallaah, bangsa Indonesia bangga memiliki Jakarta Internasional Stadium (JIS) dan penggagas serta orang-orang yang terlibat di dalamnya"
Damar Maulana Yusuf,Positif,Masih ingat dulu main disini ngobak ngobak nyari ikan eh sekarang udh jadi stadionn sebesar ini seperti di Eropa mantab jiss💯
Damari _fitriyah,Positif,Sangat bersih dan juga nyaman dan stadion kelas Eropa bgt
Danang PUTRA,Positif,Top abis
Danang Yudha Pratama,Positif,"Satu kata buat tempat ini setelah gue nyobain maen bola langsung di stadion utamanya, bukan lapangan latih. 'MEWAH'"
danangno757,Negatif,stadiun bukan untuk indonesia tpi untuk politik kemaren
Dani 553,Negatif,standar FIFA..PSSI kampung
Dani Azzura,Positif,tanks pak jokowi...🥰🥰
DANI RAHMAN CHANNEL,Positif,Mantappp dg adanya JIS  semoga warga sekitarnya mendapatkan peningkatan kehidupan dan perekonomiannya
dani santoso,Negatif,percuma kalo ga ada penonton
dani sudrajat,Negatif,pantes pssi gamau jis soalnya bayar sewa nya majhal owkwkw
Daniel Hamsah,Positif,kerja nyata buat pak anis Baswedan gubernur DKI Jakarta
danieldirga3,Positif,bisa ni jadi tuan rumah piala AFF U-20
DanilFz,Negatif,Tiap hari lewat situ B aja 😂
DANILSEMPURNA,Negatif,Persija punya.
daniswara,Positif,final pildun boleh juga
dannnymaulana,Positif,"Keren, tapi rumput nya masih kalah sama lapangan kompleks di Itali👏👏"
Danny ardiyansyah,Positif,"di jiss aja yaa ,deket rumah soalnha 😁"
Dappz٠,Negatif,kenapa gk dipake liga
dapurkaripap,Negatif,Udh kelar blm.min acara dewa
darimdika,Negatif,galayak 😅 banyak tikus ya😂
Dark Rain17,Positif,tuh stadion ada toilet nya gak
Darman Bebek,Positif,"Jadi kebanggan masyarakat Indonesia, khususnyaa warga Jakarta"
Darmawan kurnianto,Positif,Mantap jakarta punya stadion  baru saya bangga jadi anak jakarta
Darwin S,Negatif,"beton stadion kurang kuat, terus beberapa warna dinding kurang bernyawa terkesan statis dan kurang elegan, padahal anggaran cukup banyak"
Dastra,Negatif,sayang stadion tidak memenuhi standar Nasional ataupun internasional
datu_balambika,Negatif,warga Jakarta pasti tau yg mana yg bener yg mna hanya janji
daud0872npy,Positif,"p, gada lawan"
daud27,Positif,bgs memang stadionx tapi di luar aksesx tidak akan bisa memadai ribuan orang bisa parkir kendaraanx intix posisi JIS ni susah aksesx
Dave haircut 💇,Positif,"banyak yg ngeluh. padahal JIS membuat jutaan pasang mata terkagum keindahan dan kemewahannya
mulut bisa bohong GK dgn hatinya"
David,Positif,Gk ush di tanya dahh ini mah.Udh pasti mantep bgt lahh nihh lapangan.
davin111064,Negatif,barusan abis lewat Stadionnya.
dayan1112,Negatif,"punya jokowi, JIS : Jokowi International Stadium."
DD,Positif,Mantap...!!!
Жасулан,Positif,Indonesia 🇮🇩
dear4lf1,Positif,Senangnya bisa shalat Idul Fitri perdana di mari 😊😊Thank you Pak Anies!!
Deblenk Deblenk ajh,Positif,Stadion yg amat bagus dan mewah di Jakarta
Dede,Positif,Stadion udh pada bagus² nih next cara bermain nya di upgrade minimial selevel sama liga jepang/korea lah😁
Dede Junaedi,Positif,Stadion jis terkesan megah namun sayangnya kenapa tidak digunakan untuk umum supaya lebih hidup dan bernilai.
Dede Kusmayadi,Positif,Tatapencahayaan luar biasa
Dedi priyanto,Positif,(Diterjemahkan oleh Google) Itu bagus(Asli)Niiis euy
Dedy H. Ananta,Positif,Jakarta International Stadium dkt Sunter itu stadion sepakbola baru utk Persija.
Dedy Suryana,Positif,Sangat mengesankan dan saya senang bisa menjadi bagian dari sejarah
dedydicentro,Positif,"megah & modern, dekat halte busway, pintu tol dan ancol"
deepshavira,Positif,😂😂stadion buat konser
Deju Dee,Negatif,stadium untuk show pesulap merah vs samsudin
Dek Miyabi,Negatif,itu kusus juventus barca realmadrid
Delima Resto Catering,Positif,"Stadion sangat megah, namun akses menjangkau stadion perlu ditingkatkn, parkir sangat kurang."
delta-02,Negatif,kenapa ngak main di sini match day nya tgl 19
Den Don,Positif,"Semoga dgn adanya stadiun JIS dpt dijaga dgn baik, dan semoga seluruh para suporter indonesia semakin dewasa 🙏👍"
Dendi Alensius Sianipar,Positif,Keren tempat nya
deni erwanto,Positif,Deket Dari tol
Deni Priyanto,Negatif,Stadion megahnya kayak gini masih dinilai nggak standar sama PSSI? Hahaha  mending mengalah aja Bang Anies. Ganti aja jadi jadi GELORA JOKOWI gitu biar pada seneng tuh para buzzeeerrrp
deni saputra,Positif,keren
Deni Setiawan,Positif,Bagus banget euy
Deni suratman,Negatif,pertanyaannya satu JIS dibangun untuk apa? dan siapa? 😁
Deni Y,Negatif,"Stadion nya hanya dibuka ketika ada acara saja. Jika tidak ada acara, pengunjung hanya bisa memanfaatkan fasilitas di luar gerbang stadion. Di bawah jembatan stadion biasanya digunakan untuk olahraga dan senam."
Deni02🏴‍☠️,Positif,Persija nih bosss
Denish Denial,Negatif,stadion berkualitas rendah
Dennis Reskia,Positif,"Amazing place! keren bgttt, stadionnya luas, bersih, fasilitasnya oke"
Denny Arifin,Positif,"Mengakses tempat ini bisa menggunakan transportasi umum resmi Jakarta yaitu Transjakarta jurusan Harmoni-JIS, bisa juga jurusan Kp. Melayu - Ancol terusannya turun di Halte Pasar Baru Timur selain itu ada juga Jurusan Senen-JIS."
Denny Hrt,Positif,Eksotis
Denny Muniarto,Positif,Baru ngeh.. liat dari tol ancol.. gede bgt ni stadion mudah2an jd landmark baru di jakarta..
denrahman,Negatif,liat ini pa pliesss🥺
desi marwati,Positif,Bekerja dengan penuh semangat
Dessy Herlinda,Positif,😌🥺 keren
Deterjen,Positif,"Karna Janji adalah HUTANG dan Hutang tak boleh di bawa mati, krna menyusahkan yg masih hidup klo gk bisa melaksanakan atau membayar nya"
Devi Dimitra Maksum,Positif,"Lokasi di area perumahan, kalau kesini bisa menggunakan angkutan Trans Jakarta dari Harmoni atau terminal Senen. Stadion sepakbola dengan fasilitas lengkap,  ada toilet dan musholla. Ada ruang VIP. Belum dibuka untuk umum, masuk ke dalam dengan komunitas dan tour guide berlisensi. Area parkir belum dibuka. Iconic Jakarta terbaru."
Devi Nova Amelia,Positif,stadion nya megah
Devin Tria,Positif,"Alhamdulillah, kesempatan kedua bisa datang ke JIS kembali pada Grand Launching JIS✌️"
deWa aSmarA,Negatif,klau standar fifa kok kemaren pagarnya roboh😅
DEWA MAHAYANA,Negatif,Stadion oke coba cek fasilitas pendukungnya apa sdh ok
Dewa ngga,Positif,"SEMOGA ALLAH MELINDUNGI NUSANTARA, JANGAN BIKIN ALLAH MURKA AGAR KITA TETAP BISA TUA BERSAMA DAN MENIKMATI INDAH NYA BUMI INDONESIA, THANKYOU NUSANTARA KU🥰🥰🥰🥰🥰"
Dewa Wedangga,Negatif,tapi ga standar pssi
DewaBumi69,Positif,"sudah punya sirkuit internasional, bentar lagi stadion Internasional jadi.
kurang mantap gimana kinerja Presiden kita
#Optimisindonesiamaju
#jokowiRI1"
Dewanto Pasya,Positif,"Saat ke sana sayang sekali di tutup, padahal banyak masyarakat yg antusias datang. Saran sebaiknya di buka utk bagian luar stadion agar masyarakat tetap bisa berolahraga dan menikmat kemegahan JIS"
Dewi M,Positif,Prores pengerjaan sebagian hampir selesaiMasuk dari pintu barat.
Dewi Nopitasari,Positif,Tempat nya bagusFasilitas dan tempat parkir nya jugaMantap lah pokok nya
Dewi Nurhasanah,Positif,Stadionnya kerennnn banget. Apalagi waktu dipakai untuk acara Hajatan Jakarta lalu. Kerennn pokoknyaa!!
Dewi Puspitasari,Positif,Stadion yang Megah di Utara Jakarta & akan menjadi Aikon Jakarta Utara
Dewi Yani,Positif,Stadiunx keren sekali dapat menampung puluhan ribu penonton
dewi yanti,Positif,Megah
Dey,Positif,Kerja nyata
Dhani Anggoro,Positif,Mantap
dhanicangsay1895,Negatif,bongkar aja
dhanicangsay1895,Negatif,lapangan politik
DhaniZUY ID,Positif,keren semoga suatu saat bisa ke sana
Dhany Latif,Positif,jayalah Indonesiaku
dhanyphotologhy,Positif,"Mantap, baswedan international stadium"
Dhe Rahman,Positif,"Megah!!Dana mencapai Rp. 5,5 TRILION"
Dheden Aditia,Positif,keren karya pak Anies Rasid Baswedan pemimpin Rl 1 🥰
dhi cahya (dhicahya),Positif,Stadion berstandar internasional
Dhietta Karyanti,Positif,Kagum... Indonesia punya stadion kaya luar negeri
dhn_saepdn9,Positif,Kapan buat timnas nya ya maen di jis
Dholdz,Negatif,"wajar GK standart PSSI,soalny jis jelek gw orang Jakarta sering ke jis rumput nya udh kek lumpur"
dhunk_ ae,Positif,terimakasih pak anies yg sudah menepati janjimu 🥰
DHXT,Positif,heyy anda ya anda WNI dh dikasih fasilitas skrng tugas kalian ngejaga hey
dhyck,Positif,"stafionnya kyak eropa, tapi prmainnya isinys tarkam 😁😂"
dhyta ramok,Positif,"Wah mantep jakarta utara punya icon sekarang,,, semoga stadion nya di rawat dengan baik,,, qta yang make juga tertib buang sampah nya, menjaga keindahan, kebersihan dan keamanan nya, mantul pokok nya,,"
dia(alex),Positif,masak iya stadion semewah ini gk masuk standar pssi🗿
Diah Amaliya,Positif,Gede bgt mpe gbsa foto
Dian Isbuby,Positif,Stadium baru sekelas Internasional. Yang terletak di Jakarta Utara. Untuk sementara belum bisa masuk karena belum selesai.
DIAS DIMARI ADA DIAS JGN LARI,Positif,PERSIJA PUNYA
Dicky Mrahmat,Positif,"Stadium kelas internasional...yang jelas kl dperbolehkan jd kandang tim atw timnas.. yang perlu di edukasi yaitu penontonnya..agar tdk merusak, melempar seswtu atw luncat kelapangan...krna hmpr mirip liga inggris..dr tribun kelapangan sgt dkt.. mantap"
didi rm,Positif,kebanggaan indonesia
Didik Iswanto,Positif,Sy ikut berpartisipasi membangun stadion ini
Didin Muhyidin,Positif,Tempat yang sangat Bagus dan indah.
diee117,Negatif,#FIFA
Dii Ft Aldous.,Negatif,jumlah bangku setara dengan fans ARGEN pas final qatar
dika,Negatif,JIS apa?
Dika,Negatif,kok ga pernah dipake si?
dika,Positif,gila bagus bangat
dika.jakartans_,Negatif,STADION BUAT SEPAK BOLA❌STADION BUAT KONSER MUSIK✅
Diky,Negatif,njirrr harga sewanya
Dilla Afrida,Positif,Sayang belum bisa masuk jadi cuma diluar ajh ..enak dekat dengan halte TJ
Dimas Alfarizi,Positif,Jis keren buat acara dan pertandingan sepakbola dunia
Dimas Jaka,Positif,Stadion internasional kelazzs gada tandingan di Asia mah
Dimas Kurniawan,Negatif,Tempat parkir nya kurang memadai untuk pengunjung
Dimas Radpatto,Negatif,Sediain tempat parkir atau perbanyak shuttle bis
Dimazshetya_2508,Negatif,Seandainya ini Venue untuk pertandingan Indonesia bs Argentina mungkin sangat lah lebih baik
Dimitri Kurniavachenko,Positif,Stadion sebagus ini dipake pemain liga dagelan ditambah kualitas siaran indo*siar(sensor)jadi kek gimana nanti:v
din Gray,Positif,Saat ini yg bisa masuk stadion jis hanya undangan saja yg melalui kelurahan se dki jktBlom terbuka untuk umum karena masih adanya perngerjaan di dalam stadion jis
DINAH MARYANAH,Positif,"Stadion nya bagus, fasilitas cukup memuaskan cuma kekurangan nya sinyal yg sangat sulit"
dinaservitaa,Negatif,"Sound nya sihh kudu di review, kaga jelassss sampe tribunnn"
Dinda Manda,Negatif,Stadium yang luas cuma kurang penghijauan aja di sekitar stadium
Dinda Yulita,Positif,"Keren bangettt, terima kasih Pak Anies.. 💚"
Ding91,Negatif,stadionnya mungkin sudah bgus tpi efek kamera/siaran kayaknya msi seperti biasa kayak warna tv tahun 80an
dinikart,Negatif,Mau secantik apapun itu kalo standar fifa tapi tidak standar pssi
dininoktavia587,Negatif,pak
dinka2792,Negatif,"area parkir syulit , sirkulasi penonton juga sama aja 😅"
Dinoo,Negatif,pakku melu masang plafon kunu kui
Dio_,Positif,"dulu pa anies di hujat waktu banjir, tp skrang bliau mmbuktikan hsil krja ny"
Dion Leonardo,Positif,"setelah proyek jalan jadi akan lanjut dengan proyek MRT yang langsung ke arah JIS nanti denger"" sih gitu nanti"
Dion Leonardo,Positif,sekarang lagi pembangunan proyek jalan ko di pinggiran stadion jis yang akses nya akan lebih mudah nanti
Dion Leonardo,Positif,"gua yakin setelah di rombak abis PSSI atas tragedi kanjuruhan , lapangan ini akan di andalkan oleh Indonesia, tinggal nunggu waktu aja"
Dira Nadhika,Positif,Studion yang selalu menghiasi langit ku 😅
dirr,Negatif,kapan Timnas main disini ...
Dito Setiawan,Positif,Sangat luar biasa
diusuwardi,Positif,GOOD WORK PAK ANISS. CALON PRESIDENT BRO
DIXIE,Negatif,pssi make lapangan daerah aja
Diyanti Ermasari,Positif,"Kereeeenn.. tp pengunjung yg kesana ga bisa menjaga kebersihan dan merawat fasilitas umum, sampah bekas makanan dan minuman banyak tercecer :("
Djatmiko,Positif,Sarana Olahraga untuk masyarakat di daerah Sunter Kemayoran Jakarta Utara dan Pusat. Lokasi Jozz dgn area parkir yg super jozz luasnya. Masih menuju sejuk karena pepohonan masih kecil³ ... Manteb³
Djawak Jahat MX#03,Positif,Di sini sya menemukan banyak orang2 baik.
djaxvcs,Negatif,I make $20k with
DJH,Negatif,sayang bngt gak ke pake
djoko sumawa,Positif,"Sangat membanggakan,gedung yang megah"
Dk 21,Negatif,gini kata PSSI gak lolos standart FIFA. PSSI itu yg gak lolos standart FIFA
DKing,Positif,"Walaupun cuman lewat doang, Tapi memang kelihatan dari luar bagus banget.. Apalagi masih ada pengembangan lainnya, Pasti bakal lebih bagus lagi. Mantap 👍🏻"
dmsanggar,Negatif,Aneh konser ko dibolehin main bola kok gaboleh
dnd Prstn,Positif,"Luar biasa. Stadion kelas dunia ada di Jakarta, kandang persija"
dnd Prstn,Positif,"Luar biasa. Stadion kelas dunia ada di Jakarta, kandang"
doddy_96,Negatif,Oalah baru jam 17.00  sans aja
Dodi Doank,Negatif,Sayang tidak terpakai buat ajang piala dunia U20..
Dodi Putra Agani,Positif,we love jakarta internasional stadium and love my presiden
dodo viral,Positif,Pas pertama kiraian stadion luar negri😳
doet.com,Negatif,bagus untuk ngadain koser doang 😅
doli candra gani,Negatif,Ngk nonton pildun ya? Coba liat stadion disana
Dolvhyn,Negatif,standar pssi aja blom apalagi FIFA
Don (king) jon 🇮🇩,Positif,100% karya anak bangsa 🥰
Don Kartin,Negatif,Masih heran kenapa JIS tdk masuk sebagai Salah Satu stadium piala dunia u21 tahun depan. Klau emang ini krna faktor Politis. Jgn Harap Persepakbolaan Kita Akan bsa maju. Ayoo lh kita belajar dewasa. Saling meghargai dn saling bekerjasama. Bkn saling menjatuhkn. ap gk bosan seperti ini kita terus..
Don_Matojer,Positif,gara2 anis nih jakarta akhirnya punya stadion internasional.
Dona D Natalia,Positif,Ga sabar nunggu grand opening Dan nonton pertandingan Akbar disini
doni kusnandar,Positif,mirif stadion real Madrid yah ges
donikusuma714,Negatif,pssi butuh stadioj yg ada jerusi besinya. sama keamanan super. soalnya rawan bentrok 😅
donk,Positif,"berarti dia amanah, tepati janji. kalo banjir gubernurny sapa aja jg banjir, yg pntg udh ikhtiar."
Donkay524,Positif,PERSIJA PUNYA
Donny Yudha,Positif,Sekilas kayak Stadion buat WC 2022 Qatar. Gede banget ini. Kalo udah rame pengen rasain jogging disini
donnyhartonosag21,Negatif,sayng nya bukan standar PSSI
Dot co Dot im,Positif,Jakarta internasional Stadium terlihat dari tepian pelabuhan Nizam Zachman Muara Baru Jakarta Utara
dowara,Positif,Megah.. dari luar nya di dalam belum lihat
Draside(ML),Negatif,2023 kita jadi tuan rumah piala Dunia u20
Driver old,Positif,kmrn liat lngsng asli gede bngt stadionnya
Dthxyz [DAFFA],Negatif,gak standar pssi 🗿
Duaxian,Positif,"WOW pak Anis, terimakasih😳"
Dudinsy,Positif,Keren jakarta punya stadion semegah ini
dudy sulaiman,Positif,"Gedungnya bagus, parkir luas. Akses keluar masuk area JIS belum siap,  darurat."
Dunia kerja,Positif,"Akses enak dket stasiun , angkot jg lgsg d dpn"
Dunia Lain,Positif,Menanti pak Anies nanti kampanye akbar di JIS 🥰🥰
dvan,Positif,mudah mudahan kualitas kameranya juga naik level yah
Dwi cahyo setiawan,Positif,JIS MEMANG MANTAP DEKET DENGAN RUMAH HANAYA BERAPA METER SAJAA
Dwi Fahmi Al Fiqri,Positif,"Speechless, keren banget menurut gw 👏 kalau liat di foto mungkin kayak biasa aja, tapi coba dah dateng langsung, nagih asli 😂"
Dwi Febriantoko,Positif,"Masih dalam masa konstruksi, tapi keliahatannya akan mewah dan megah. Mudah-mudahan nanti nya menjadi kebanggaan Jakarta dan Indonesia"
Dwi Milan25,Positif,Tempat nya baguss dan nyamannn
Dwi Oktaviani,Positif,Mantaps stadionnya
Dwi Siswanto,Positif,Lokasi sangat strategis dipinggir jalan raya tapi smntr blm di buka untuk umum s/d saat ini. Blm ada perubahan msh tertutup.
dwi susanti,Positif,"Luas, adem,akses mudah"
Dwiko Wahyu Megantoro,Positif,(Diterjemahkan oleh Google) Persatuan Sepak Bola Jacatra Indonesia(Asli)
Dwiky Desta nugraha,Positif,"Keren banget, bersih 👍"
dwiky pambudi,Positif,"Nonton konser dewa disini, stadionnya asik, cuma kualitas audionya belum merata"
dwiyundhona agungsatriawibowo,Negatif,JiS percuma dikatakan stadion megah tapi tidak pernah bisa digunakan untuk timnas indonesia buat piala aff atau piala afc atau piala dunia. Entah apa alasanya yg jelas dunia luar tidak akan pernah tahu klo indonesia pny stadion semegah jis klo tdk bermanfaat untuk timnas
dwstryoo_,Negatif,Ketika stadion Internasional beralih profesi
Dy,Positif,stadion kelas piala dunia final .. bukan kelas pssi
Dzaki Praditha,Negatif,tanaman yang di luar stadion itu bapa gua yang nanem
dzakir,Negatif,PSSI tidak bersandar FIFA
dzaufa2125,Positif,"Semoga sesudah konser ada evaluasi dr pihak JIS khusus nya dr keluhan2 yg nonton kmrn mlam yg skr beredar d medsos, yg ktnya akses keluar nya cm satu jalur, akses ke JiS ny sulit ga ada kndaraan umum kesana dsb, smga bisa koordinasi dg aparat pemerintah terkait jg"
dzaufa2125,Negatif,"Semalam seharus nya layar besar yg d dlm stadion JIS d nyalain donk jd biar tmbah keliatan, soalnya orng2 yg d pnggir panggung yg jauh d atas ga bsa liat jelas."
dzil_afwa,Negatif,Akhirnya para pejabat makan ludah sendiri dengan hadir di stadion mewah karya pak Anies Baswedan 🔥🔥
dzulumat666,Negatif,stadion ini digunain ga si atau pajangan aja
E.prasetyo 44999,Positif,Stadion terbesar saat ini di asia tenggara. Smoga bermanfaat untuk Indonesia.
무함맏 우잨,Positif,moga siarannya jadi bagus
達菲安迪卡薩里,Positif,"setuju PSSI🥰 sebab penonton Indonesia harus di buat pagar beton kayak perbatasan as sama Meksiko, harus di buat kontak babl"
ɐɟıɐu_382,Negatif,"ada yang bilang kalau JIS' Jakarta Internasional Stadium' blm standar FIFA,, jelas"" di bikinya standar FIFA, bahkan lebih baik"
Eaj 123,Positif,Semoga pak Anis jadi presiden biar timnas bisa main di JIS
ebot 08561057666,Negatif,"sekelilingnya , kurang memadai aksesnya , jalannya belum selesai"
EBY BFC,Negatif,Panas😂😂
Edd1004,Positif,"iya Anies jadi presiden 2024, mimpinnya para kadrun saja ya😁😁😁😁😁"
Eddy Antara,Negatif,preeetttt
Eddy Caramanlis,Positif,Keren sih tapi ga memenuhi standar FIFA
Eddy Riyanto,Positif,"Pertama kali nginjak stadion baru, bersa wow aja"
Edi Pramana,Negatif,"FIFA : Ini baru stadion termegah di Indonesia, cocok buat ajang piala dunia selanjutnya 😉👍
PSSI : Mohon maaf masih belum bisa Bos 😂🙏"
Edi Suwardi,Positif,Walau belum selesai tapi sudah tampak stadion megah kelas international.Mantap..
ediiw_5,Positif,"Teu hayang nonton nage, Mun Persija maen daek nonton"
Edward Julius,Positif,Tempat termegah yang pernah saya datangi.. salah satu hasil karya anak bangsa.. luangkan waktu utk datang ke tempat ini
Edy Purwanto,Positif,Bersyukur bisa ikut dalam proses pembangunannya
Efffby,Positif,Wadidaw keren bettt cuk
ega_ap30,Positif,akan di pake saat Indonesia jadi tuan rumah piala Dunia di 2034 nanti
egi sugiharto,Positif,"Bagus,tinggal kelengkapan nya biar tambah bagus lagi"
Egy bagus saputro,Positif,"Stadion baru kebanggaan warga jakarta utara skaligus home bas persija jakarta , semoga di musim selanjutnya bisa di pakai persija untuk pertandingan tuan rumah persija , tetap berkarya terus persijaku"
Egy bagus saputro,Positif,"Stadion baru kebanggaan warga jakarta utara skaligus home bas  , semoga di musim selanjutnya bisa di pakai  untuk pertandingan tuan rumah  , tetap berkarya terus persijaku"
Egy Romantis,Positif,Rangka atap buka tutup mulai terpasangJakarta internasional studion#JIS
eji anak baik,Positif,gas pak maen disini fifa match day😥
eka Djayanto,Negatif,Masih dalam proses finishing jadi belum maksimal
eka kun,Negatif,Jaringan susah dan transportasi ke sana susah belum memadai apalagi saat ada acara
Eka Purwaningsih,Positif,"Tempatnya sngat luas,kebersihannya pun terjaga krna bnyk petugas yg mengontrol kebersihannya."
Eka Supriyadi,Positif,"Keren,mewah,super top 👍❤️❤️❤️"
Eka_Bima,Positif,Indonesia adalah negara yang memiliki stadion terbanyak dan terbagus di Asia tenggara 🇮🇩
ekha satria,Positif,karya nya siapa tuh🥰
Eko Dwi Mawardi,Positif,Sangat berkelas...JIS the best.....
Eko Dwiyanto,Positif,"Sound nya menggelegar,,cuma sayang monitor gede tp ga nampilin siaran ulang"
Eko Fajar,Positif,"Cuma lewat aja, pembangunan belum selesai 100%"
Eko Prasetyo,Positif,Pertama kali ke JIS luar biasa🔥
Eko Purwantono,Positif,Stadion ter mewah
Eko sugiarto,Positif,Sudah tidak nyasar lagi mencari alamat
ekotiktok24474,Positif,"sebagai orang depok gw ikut bangga dengan stadion ini, tapi presiden tetep ganjar 😂"
ekotiktok24474,Positif,"dibikin dari pajak rakyat jakarta, trus ngebayangin kadrun2 bayar pajak.."
El ka,Positif,crane nya cara keluarnya gimana tuh
EL_DIVTA,Negatif,"klw pejabat lain,,,,mending duit gua korup, ,,,pak anues the best"
Eldianty Bahauddin,Positif,"Beberapa kali mampir ke sini, olahraga2, keren tempatnya, keren juga yg bikin 👍"
Eli Laela,Positif,Walau bukan warga Jakarta saya tetap ikut bangga memiliki Stadion semegah ini.semoga kita bisa menjaganya.
Elin Zanati,Positif,"Kapasitas utk penonton nya banyak, kamar mandi bersih tapi penerangan nya kurang di bbrp tangga menuju tribun.Kemaren nntn konser sekitar 75rb penonton."
elis apriyani🔥🥀,Positif,ya allah kereng banget
Elisabet Sirait,Positif,"Stadiun yang besar, terdapat 4 pintu masuk. Utara, Timur, Barat dan Selatan. Naik menggunaka tangga, 3 tingkatan tempat duduk. Bentuk stadium yang membuat suara pentonton menggema dengan baik"
Elno,Positif,2023 kita dukung Indonesia
ELQY,Positif,Pokoknya mantep dach stadionnya.Ga ada lawan pokoknya.
emakmak,Positif,uhh deket rumahku😍
Emesa Dua'satu,Positif,Megah bgtIni br nama'y stadion kualitas internasional
Emien N,Positif,"Stadion termegah di Indonesia dan Asia tenggara, Mantapp. Thanks Anies, JAKPRO dan pemprop DKI Jakarta telah merealisasikan harapan Masyarakat Jakarta khususnya The JAK bertahun tahun lamanya 👍"
Emma,Positif,Semangat bapak yg uda kerja keras bekerja 🥰
emyrmaliq,Positif,"ada yg panas panas nih, apakabar psi melihat ini"
Endam Hamdani,Positif,"JIS luar biasa sebuah stadion sepak bola yang berkelas dunia, saya menikmati kenyamanan tata arsitek yang indah seperti berada di liga Inggris. Kini ada di Jakarta. Luar biasa salute untuk pemprov.DKI Jakarta sukses Karya terbaik Bapak Anies Baswedan akan dikenang sepanjang masa. Bangga Jakarta bangga Indonesia"
endo kusumo,Negatif,"Tempat elit keren, tapi sayang aksesnya sulit"
Endri Maisam,Negatif,Ngikutin gmaps pas didepan gerbang utama JIS...mampir dl beli rujak didepan gerbangnya...ada juga tukang mie ayam dan ice-cream.
endy laecka,Negatif,tiap hari lewat situ ☺️
Energi Kehidupan,Negatif,ini stadion khusus utk konser 😅
Enforcer,Positif,stadion cakep tapi kalo Indosiar yang nyiarin tetap aj burik🗿
Enggo Joy,Positif,Belum rapih area luar stadium... Kl sudah rapih br tambah...*****
engkotaticollection,Positif,"semoga dengan ada ny stadion yg megah, Kualitas pemain"" ny jg semakin meningkat.... Amiin"
Enrico Alessandro,Negatif,"Giring mana giring? Meronta-ronta, menangis melihat stadion ini pasti 🤣"
Ente demen Ane demen,Positif,"Setiap sabtu saya pasti bersepeda ke jis, megah seakli Internasional class tanks pak anis"
epanzz,Positif,bagian dalamnya mirip² old trafford stadium
epulspeed14,Positif,bangga kali dengan warga indonesia 🇮🇩
